Character(character=',', codepoint='U+002c', name='COMMA')
Character(character='Ξ', codepoint='U+039e', name='GREEK CAPITAL LETTER XI')
Character(character='Ο', codepoint='U+039f', name='GREEK CAPITAL LETTER OMICRON')
Character(character='Π', codepoint='U+03a0', name='GREEK CAPITAL LETTER PI')
Character(character='Ρ', codepoint='U+03a1', name='GREEK CAPITAL LETTER RHO')
Character(character='Σ', codepoint='U+03a3', name='GREEK CAPITAL LETTER SIGMA')
Character(character='Τ', codepoint='U+03a4', name='GREEK CAPITAL LETTER TAU')
Character(character='Υ', codepoint='U+03a5', name='GREEK CAPITAL LETTER UPSILON')
Character(character='Φ', codepoint='U+03a6', name='GREEK CAPITAL LETTER PHI')
Character(character='Χ', codepoint='U+03a7', name='GREEK CAPITAL LETTER CHI')
Character(character='Ψ', codepoint='U+03a8', name='GREEK CAPITAL LETTER PSI')
Character(character='Ω', codepoint='U+03a9', name='GREEK CAPITAL LETTER OMEGA')
Character(character='Ϊ', codepoint='U+03aa', name='GREEK CAPITAL LETTER IOTA WITH DIALYTIKA')
Character(character='Ϋ', codepoint='U+03ab', name='GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA')
Character(character='ά', codepoint='U+03ac', name='GREEK SMALL LETTER ALPHA WITH TONOS')
Character(character='έ', codepoint='U+03ad', name='GREEK SMALL LETTER EPSILON WITH TONOS')
Character(character='ή', codepoint='U+03ae', name='GREEK SMALL LETTER ETA WITH TONOS')
Character(character='ί', codepoint='U+03af', name='GREEK SMALL LETTER IOTA WITH TONOS')
Character(character='ΰ', codepoint='U+03b0', name='GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS')
Character(character='α', codepoint='U+03b1', name='GREEK SMALL LETTER ALPHA')
Character(character='β', codepoint='U+03b2', name='GREEK SMALL LETTER BETA')
Character(character='γ', codepoint='U+03b3', name='GREEK SMALL LETTER GAMMA')
Character(character='δ', codepoint='U+03b4', name='GREEK SMALL LETTER DELTA')
Character(character='ε', codepoint='U+03b5', name='GREEK SMALL LETTER EPSILON')
Character(character='ζ', codepoint='U+03b6', name='GREEK SMALL LETTER ZETA')
Character(character='η', codepoint='U+03b7', name='GREEK SMALL LETTER ETA')
Character(character='θ', codepoint='U+03b8', name='GREEK SMALL LETTER THETA')
Character(character='ι', codepoint='U+03b9', name='GREEK SMALL LETTER IOTA')
Character(character='κ', codepoint='U+03ba', name='GREEK SMALL LETTER KAPPA')
Character(character='λ', codepoint='U+03bb', name='GREEK SMALL LETTER LAMDA')
Character(character='μ', codepoint='U+03bc', name='GREEK SMALL LETTER MU')
Character(character='ν', codepoint='U+03bd', name='GREEK SMALL LETTER NU')
Character(character='ξ', codepoint='U+03be', name='GREEK SMALL LETTER XI')
Character(character='ο', codepoint='U+03bf', name='GREEK SMALL LETTER OMICRON')
Character(character='π', codepoint='U+03c0', name='GREEK SMALL LETTER PI')
Character(character='ρ', codepoint='U+03c1', name='GREEK SMALL LETTER RHO')
Character(character='ς', codepoint='U+03c2', name='GREEK SMALL LETTER FINAL SIGMA')
Character(character='σ', codepoint='U+03c3', name='GREEK SMALL LETTER SIGMA')
Character(character='τ', codepoint='U+03c4', name='GREEK SMALL LETTER TAU')
Character(character='υ', codepoint='U+03c5', name='GREEK SMALL LETTER UPSILON')
Character(character='φ', codepoint='U+03c6', name='GREEK SMALL LETTER PHI')
Character(character='χ', codepoint='U+03c7', name='GREEK SMALL LETTER CHI')
Character(character='ψ', codepoint='U+03c8', name='GREEK SMALL LETTER PSI')
Character(character='ω', codepoint='U+03c9', name='GREEK SMALL LETTER OMEGA')
Character(character='ϊ', codepoint='U+03ca', name='GREEK SMALL LETTER IOTA WITH DIALYTIKA')
Character(character='ϋ', codepoint='U+03cb', name='GREEK SMALL LETTER UPSILON WITH DIALYTIKA')
Character(character='ό', codepoint='U+03cc', name='GREEK SMALL LETTER OMICRON WITH TONOS')
Character(character='ύ', codepoint='U+03cd', name='GREEK SMALL LETTER UPSILON WITH TONOS')
Character(character='ώ', codepoint='U+03ce', name='GREEK SMALL LETTER OMEGA WITH TONOS')
Character(character='Ϗ', codepoint='U+03cf', name='GREEK CAPITAL KAI SYMBOL')
Character(character='ϐ', codepoint='U+03d0', name='GREEK BETA SYMBOL')
Character(character='ϑ', codepoint='U+03d1', name='GREEK THETA SYMBOL')
Character(character='ϒ', codepoint='U+03d2', name='GREEK UPSILON WITH HOOK SYMBOL')
Character(character='ϓ', codepoint='U+03d3', name='GREEK UPSILON WITH ACUTE AND HOOK SYMBOL')
Character(character='ϔ', codepoint='U+03d4', name='GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL')
Character(character='ϕ', codepoint='U+03d5', name='GREEK PHI SYMBOL')
Character(character='ϖ', codepoint='U+03d6', name='GREEK PI SYMBOL')
Character(character='ϗ', codepoint='U+03d7', name='GREEK KAI SYMBOL')
Character(character='Ϙ', codepoint='U+03d8', name='GREEK LETTER ARCHAIC KOPPA')
Character(character='ϙ', codepoint='U+03d9', name='GREEK SMALL LETTER ARCHAIC KOPPA')
Character(character='Ϛ', codepoint='U+03da', name='GREEK LETTER STIGMA')
Character(character='ϛ', codepoint='U+03db', name='GREEK SMALL LETTER STIGMA')
Character(character='Ϝ', codepoint='U+03dc', name='GREEK LETTER DIGAMMA')
Character(character='ϝ', codepoint='U+03dd', name='GREEK SMALL LETTER DIGAMMA')
Character(character='Ϟ', codepoint='U+03de', name='GREEK LETTER KOPPA')
Character(character='ϟ', codepoint='U+03df', name='GREEK SMALL LETTER KOPPA')
Character(character='Ϡ', codepoint='U+03e0', name='GREEK LETTER SAMPI')
Character(character='ϡ', codepoint='U+03e1', name='GREEK SMALL LETTER SAMPI')
Character(character='Ϣ', codepoint='U+03e2', name='COPTIC CAPITAL LETTER SHEI')
Character(character='ϣ', codepoint='U+03e3', name='COPTIC SMALL LETTER SHEI')
Character(character='Ϥ', codepoint='U+03e4', name='COPTIC CAPITAL LETTER FEI')
Character(character='ϥ', codepoint='U+03e5', name='COPTIC SMALL LETTER FEI')
Character(character='Ϧ', codepoint='U+03e6', name='COPTIC CAPITAL LETTER KHEI')
Character(character='ϧ', codepoint='U+03e7', name='COPTIC SMALL LETTER KHEI')
Character(character='Ϩ', codepoint='U+03e8', name='COPTIC CAPITAL LETTER HORI')
Character(character='ϩ', codepoint='U+03e9', name='COPTIC SMALL LETTER HORI')
Character(character='Ϫ', codepoint='U+03ea', name='COPTIC CAPITAL LETTER GANGIA')
Character(character='ϫ', codepoint='U+03eb', name='COPTIC SMALL LETTER GANGIA')
Character(character='Ϭ', codepoint='U+03ec', name='COPTIC CAPITAL LETTER SHIMA')
Character(character='ϭ', codepoint='U+03ed', name='COPTIC SMALL LETTER SHIMA')
Character(character='Ϯ', codepoint='U+03ee', name='COPTIC CAPITAL LETTER DEI')
Character(character='ϯ', codepoint='U+03ef', name='COPTIC SMALL LETTER DEI')
Character(character='ϰ', codepoint='U+03f0', name='GREEK KAPPA SYMBOL')
Character(character='ϱ', codepoint='U+03f1', name='GREEK RHO SYMBOL')
Character(character='ϲ', codepoint='U+03f2', name='GREEK LUNATE SIGMA SYMBOL')
Character(character='ϳ', codepoint='U+03f3', name='GREEK LETTER YOT')
Character(character='ϴ', codepoint='U+03f4', name='GREEK CAPITAL THETA SYMBOL')
Character(character='ϵ', codepoint='U+03f5', name='GREEK LUNATE EPSILON SYMBOL')
Character(character='϶', codepoint='U+03f6', name='GREEK REVERSED LUNATE EPSILON SYMBOL')
Character(character='Ϸ', codepoint='U+03f7', name='GREEK CAPITAL LETTER SHO')
Character(character='ϸ', codepoint='U+03f8', name='GREEK SMALL LETTER SHO')
Character(character='Ϲ', codepoint='U+03f9', name='GREEK CAPITAL LUNATE SIGMA SYMBOL')
Character(character='Ϻ', codepoint='U+03fa', name='GREEK CAPITAL LETTER SAN')
Character(character='ϻ', codepoint='U+03fb', name='GREEK SMALL LETTER SAN')
Character(character='ϼ', codepoint='U+03fc', name='GREEK RHO WITH STROKE SYMBOL')
Character(character='Ͻ', codepoint='U+03fd', name='GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL')
Character(character='Ͼ', codepoint='U+03fe', name='GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL')
Character(character='Ͽ', codepoint='U+03ff', name='GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL')
Character(character='Ё', codepoint='U+0401', name='CYRILLIC CAPITAL LETTER IO')
Character(character='Б', codepoint='U+0411', name='CYRILLIC CAPITAL LETTER BE')
Character(character='В', codepoint='U+0412', name='CYRILLIC CAPITAL LETTER VE')
Character(character='Г', codepoint='U+0413', name='CYRILLIC CAPITAL LETTER GHE')
Character(character='Д', codepoint='U+0414', name='CYRILLIC CAPITAL LETTER DE')
Character(character='Е', codepoint='U+0415', name='CYRILLIC CAPITAL LETTER IE')
Character(character='Ж', codepoint='U+0416', name='CYRILLIC CAPITAL LETTER ZHE')
Character(character='З', codepoint='U+0417', name='CYRILLIC CAPITAL LETTER ZE')
Character(character='И', codepoint='U+0418', name='CYRILLIC CAPITAL LETTER I')
